parameter,variableNames
temperature,"""sea_water_temperature,temperature1,temperature2,temperature3,pressure_temp,hpies_temperature,temperature01,temperature02,temperature03,temperature04,temperature05,temperature06,temperature07,temperature08,temperature09,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24"""
conductivity,"""sea_water_electrical_conductivity"""
pressure,"""sea_water_pressure,int_ctd_pressure,bin_depths"""
density,"""sea_water_density"""
oxygen,"""dissolved_oxygen,corrected_dissolved_oxygen"""
salinity,"""sea_water_practical_salinity"""
chlorophyll,"""fluorometric_chlorophyll_a"""
cdom,"""fluorometric_cdom"""
backscatter,"""optical_backscatter"""
nitrate,"""nitrate_concentration"""
par,"""par_counts_output"""
pco2,"""pco2_seawater"""
ph,"""ph_seawater"""
resistivity,"""resistivity_5,resistivity_x1,resistivity_x5"""
spectral_irradiance_412nm,"""spkir_downwelling_vector_412nm"""
spectral_irradiance_443nm,"""spkir_downwelling_vector_443nm"""
spectral_irradiance_490nm,"""spkir_downwelling_vector_490nm"""
spectral_irradiance_510nm,"""spkir_downwelling_vector_510nm"""
spectral_irradiance_555nm,"""spkir_downwelling_vector_555nm"""
spectral_irradiance_620nm,"""spkir_downwelling_vector_620nm"""
spectral_irradiance_683nm,"""spkir_downwelling_vector_683nm"""
velocity_east,"""velpt_d_eastward_velocity,eastward_seawater_velocity"""
velocity_north,"""velpt_d_northward_velocity,northward_seawater_velocity"""
velocity_up,"""velpt_d_upward_velocity,upward_seawater_velocity"""
percent_good_beam,"""percent_good_beam1,percent_good_beam2,percent_good_beam3,percent_good_beam4"""
echo_intensity,"""corrected_echo_intensity_beam1,corrected_echo_intensity_beam2,corrected_echo_intensity_beam3,corrected_echo_intensity_beam4"""
correlation_magnitude,"""correlation_magnitude_beam1,correlation_magnitude_beam2,correlation_magnitude_beam3,correlation_magnitude_beam4"""
error_seawater_velocity,"""error_seawater_velocity"""
vent_temperature,"""vent_fluid_temperature"""
seafloor_pressure,"""seafloor_pressure,hpies_pressure_L1"""
